TEAM_ID,TEAM_ABBREVIATION,TEAM_CONFERENCE,TEAM_SLUG,W,L,PCT,CONF_RANK,DIV_RANK
1610612762,UTA,West,jazz,5,18,0.217,14,5
1610612763,MEM,West,grizzlies,17,8,0.68,3,2
1610612764,WAS,East,wizards,3,19,0.136,15,5
1610612765,DET,East,pistons,10,16,0.385,11,5
1610612766,CHA,East,hornets,7,17,0.292,13,4
1610612737,ATL,East,hawks,14,12,0.538,7,3
1610612738,BOS,East,celtics,20,5,0.8,2,1
1610612739,CLE,East,cavaliers,21,4,0.84,1,1
1610612740,NOP,West,pelicans,5,21,0.192,15,5
1610612741,CHI,East,bulls,10,15,0.4,10,4
1610612742,DAL,West,mavericks,16,9,0.64,4,3
1610612743,DEN,West,nuggets,12,10,0.545,7,2
1610612744,GSW,West,warriors,14,10,0.583,5,1
1610612745,HOU,West,rockets,17,8,0.68,2,1
1610612746,LAC,West,clippers,14,11,0.56,6,2
1610612747,LAL,West,lakers,13,11,0.542,8,3
1610612748,MIA,East,heat,13,10,0.565,5,2
1610612749,MIL,East,bucks,13,11,0.542,6,2
1610612750,MIN,West,timberwolves,12,11,0.522,9,3
1610612751,BKN,East,nets,10,14,0.417,8,3
1610612752,NYK,East,knicks,15,10,0.6,4,2
1610612753,ORL,East,magic,17,10,0.63,3,1
1610612754,IND,East,pacers,10,15,0.4,9,3
1610612755,PHI,East,sixers,7,15,0.318,12,4
1610612756,PHX,West,suns,12,11,0.522,10,4
1610612757,POR,West,blazers,8,16,0.333,13,4
1610612758,SAC,West,kings,13,13,0.5,12,5
1610612759,SAS,West,spurs,12,12,0.5,11,4
1610612760,OKC,West,thunder,19,5,0.792,1,1
1610612761,TOR,East,raptors,7,19,0.269,14,5
1610612762,UTA,West,jazz,5,18,0.217,14,5
1610612763,MEM,West,grizzlies,17,8,0.68,3,2
1610612764,WAS,East,wizards,3,19,0.136,15,5
1610612765,DET,East,pistons,10,16,0.385,11,5
1610612766,CHA,East,hornets,7,17,0.292,13,4
1610612737,ATL,East,hawks,14,12,0.538,7,3
1610612738,BOS,East,celtics,20,5,0.8,2,1
1610612739,CLE,East,cavaliers,21,4,0.84,1,1
1610612740,NOP,West,pelicans,5,21,0.192,15,5
1610612741,CHI,East,bulls,10,15,0.4,10,4
1610612742,DAL,West,mavericks,16,9,0.64,4,3
1610612743,DEN,West,nuggets,12,10,0.545,7,2
1610612744,GSW,West,warriors,14,10,0.583,5,1
1610612745,HOU,West,rockets,17,8,0.68,2,1
1610612746,LAC,West,clippers,14,11,0.56,6,2
1610612747,LAL,West,lakers,13,11,0.542,8,3
1610612748,MIA,East,heat,13,10,0.565,5,2
1610612749,MIL,East,bucks,13,11,0.542,6,2
1610612750,MIN,West,timberwolves,12,11,0.522,9,3
1610612751,BKN,East,nets,10,14,0.417,8,3
1610612752,NYK,East,knicks,15,10,0.6,4,2
1610612753,ORL,East,magic,17,10,0.63,3,1
1610612754,IND,East,pacers,10,15,0.4,9,3
1610612755,PHI,East,sixers,7,15,0.318,12,4
1610612756,PHX,West,suns,12,11,0.522,10,4
1610612757,POR,West,blazers,8,16,0.333,13,4
1610612758,SAC,West,kings,13,13,0.5,12,5
1610612759,SAS,West,spurs,12,12,0.5,11,4
1610612760,OKC,West,thunder,19,5,0.792,1,1
1610612761,TOR,East,raptors,7,19,0.269,14,5
1610612762,UTA,West,jazz,5,18,0.217,14,5
1610612763,MEM,West,grizzlies,17,8,0.68,3,2
1610612764,WAS,East,wizards,3,19,0.136,15,5
1610612765,DET,East,pistons,10,16,0.385,11,5
1610612766,CHA,East,hornets,7,17,0.292,13,4
1610612737,ATL,East,hawks,14,12,0.538,7,3
1610612738,BOS,East,celtics,20,5,0.8,2,1
1610612739,CLE,East,cavaliers,21,4,0.84,1,1
1610612740,NOP,West,pelicans,5,21,0.192,15,5
1610612741,CHI,East,bulls,10,15,0.4,10,4
1610612742,DAL,West,mavericks,16,9,0.64,4,3
1610612743,DEN,West,nuggets,12,10,0.545,7,2
1610612744,GSW,West,warriors,14,10,0.583,5,1
1610612745,HOU,West,rockets,17,8,0.68,2,1
1610612746,LAC,West,clippers,14,11,0.56,6,2
1610612747,LAL,West,lakers,13,11,0.542,8,3
1610612748,MIA,East,heat,13,10,0.565,5,2
1610612749,MIL,East,bucks,13,11,0.542,6,2
1610612750,MIN,West,timberwolves,12,11,0.522,9,3
1610612751,BKN,East,nets,10,14,0.417,8,3
1610612752,NYK,East,knicks,15,10,0.6,4,2
1610612753,ORL,East,magic,17,10,0.63,3,1
1610612754,IND,East,pacers,10,15,0.4,9,3
1610612755,PHI,East,sixers,7,15,0.318,12,4
1610612756,PHX,West,suns,12,11,0.522,10,4
1610612757,POR,West,blazers,8,16,0.333,13,4
1610612758,SAC,West,kings,13,13,0.5,12,5
1610612759,SAS,West,spurs,12,12,0.5,11,4
1610612760,OKC,West,thunder,19,5,0.792,1,1
1610612761,TOR,East,raptors,7,19,0.269,14,5
1610612762,UTA,West,jazz,5,18,0.217,14,5
1610612763,MEM,West,grizzlies,17,8,0.68,3,2
1610612764,WAS,East,wizards,3,19,0.136,15,5
1610612765,DET,East,pistons,10,16,0.385,11,5
1610612766,CHA,East,hornets,7,17,0.292,13,4
